model,type,true_P,true_R,fals_P,fals_R,disp_P,disp_R,critErr%
Claude Sonnet 4.6,frontier,95.7,48.2,92.2,59.5,40.6,89.8,0.0
DeepSeek-V3,frontier,90.2,57.8,86.6,59.2,40.4,79.5,0.4
GPT-5.4,frontier,94.2,63.6,90.9,62.7,44.9,85.6,0.0
II-Medical-8B,medical,86.2,65.9,84.4,30.9,35.6,79.8,0.8
Llama3-OpenBioLLM-70B,medical,82.8,47.7,71.2,18.3,30.3,80.9,1.5
Med-Qwen2-7B,medical,50.4,55.7,57.9,22.3,30.6,52.8,13.9
MedGemma-27B-IT,medical,91.0,51.2,81.3,34.1,34.7,85.0,0.9
MedGemma-4B-IT,medical,86.2,34.5,77.4,27.4,30.6,85.1,1.1
GigaChat,russian,91.4,52.8,72.1,42.9,35.1,76.6,2.0
YandexGPT,russian,88.3,38.4,67.9,14.0,28.7,84.4,0.3
