model,lang,P1,P2,P3,P4,detail_eff,order_eff
Claude Sonnet 4.6,EN,68.25182269525966,64.06741652790507,68.60777549739177,63.464615762652784,-0.12342398156009438,-4.663782951046798
Claude Sonnet 4.6,RU,69.64926750740445,55.44624829106712,67.31000481000481,54.45755471639855,-1.6639781360341033,-13.527734654971802
DeepSeek-V3,EN,55.075188423969855,69.27525084285736,59.21492245434477,67.74804451834822,1.3062638529328936,11.366592241445474
DeepSeek-V3,RU,65.01986630175269,66.97437595981262,68.8276650242026,64.5442354547597,0.688829108698485,-1.164459955691484
GPT-5.4,EN,71.38761157180235,66.60297556849281,71.91248738642449,67.043887436729,0.4828938414291599,-4.826617976502519
GPT-5.4,RU,72.7745617281468,69.31225223657603,69.85507470598527,68.38389340871856,-1.9239229250094922,-2.466745394418737
GigaChat,EN,52.888856038406665,47.266794224590754,58.71593182589637,51.05357212950544,4.806926846202188,-6.64221075510342
GigaChat,RU,58.306428811993186,57.84792757682784,59.56420793792804,62.10168818885408,2.7557698689805434,1.0394895078803472
II-Medical-8B,EN,50.91568217304358,50.5391510315469,55.89194294975325,55.378314961274015,4.9077123532184,-0.44507956498794954
II-Medical-8B,RU,54.390831267431736,55.93605587535569,62.68717701095964,63.072299941374474,7.716294904773342,0.9651737691693967
Llama3-OpenBioLLM-70B,EN,35.78107775044683,48.837660724554176,38.023611887699474,52.965674566493135,3.1852739895957995,13.99932282645051
Llama3-OpenBioLLM-70B,RU,38.78297110150106,52.64939798421114,41.923025967143616,,,
Med-Qwen2-7B,EN,38.560695544753514,40.95886372490181,42.60929629438109,34.78128624359214,-1.0644883658410507,-2.714920935320329
Med-Qwen2-7B,RU,38.74616345540293,40.49669102231644,42.21990963440891,46.40888397324493,4.6929695649672425,2.969750952874776
MedGemma-27B-IT,EN,42.41034157750694,55.16774797432523,54.05756772357534,63.209010496232764,9.844244333987973,10.954424584737865
MedGemma-27B-IT,RU,51.82711988304093,54.33971221775439,49.85790809122562,60.64443080554036,2.1677533979853294,6.649557524514101
MedGemma-4B-IT,EN,42.64355630918164,53.74212808662831,42.40842718950222,50.430969624930356,-1.7731437906886924,9.560557106437408
MedGemma-4B-IT,RU,33.575479185742864,40.31662176347377,44.58950319118911,46.20706342909675,8.452232835534616,4.179351407819276
YandexGPT,EN,33.41184704622535,42.96977772903715,39.21101584671505,45.99373676628769,4.411563918870122,8.17032580119222
YandexGPT,RU,31.175290295330143,42.78648787815483,36.813096258346434,42.63762083942295,2.744469462142206,8.717861081950602
